ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92108,2013,Female,40 to 49,1066
92054,2013,Female,40 to 49,2456
92010,2013,Female,40 to 49,1246
92086,2013,Female,40 to 49,66
92113,2013,Female,40 to 49,3271
92060,2013,Female,40 to 49,48
92082,2013,Female,40 to 49,1234
92109,2013,Female,40 to 49,2311
92139,2013,Female,40 to 49,2293
92259,2013,Female,40 to 49,0
92061,2013,Female,40 to 49,184
91905,2013,Female,40 to 49,128
92116,2013,Female,40 to 49,2425
92672,2013,Female,40 to 49,120
91978,2013,Female,40 to 49,517
91932,2013,Female,40 to 49,1668
91977,2013,Female,40 to 49,4172
92118,2013,Female,40 to 49,1213
92057,2013,Female,40 to 49,3747
92081,2013,Female,40 to 49,1874
91934,2013,Female,40 to 49,58
92182,2013,Female,40 to 49,5
92083,2013,Female,40 to 49,2439
91942,2013,Female,40 to 49,2449
92103,2013,Female,40 to 49,1978
91948,2013,Female,40 to 49,27
92122,2013,Female,40 to 49,2304
91963,2013,Female,40 to 49,57
91914,2013,Female,40 to 49,1454
92106,2013,Female,40 to 49,1243
92155,2013,Female,40 to 49,3
92102,2013,Female,40 to 49,2790
92027,2013,Female,40 to 49,3594
92066,2013,Female,40 to 49,23
92127,2013,Female,40 to 49,3810
92026,2013,Female,40 to 49,3608
91941,2013,Female,40 to 49,2262
92105,2013,Female,40 to 49,4795
92020,2013,Female,40 to 49,3839
92071,2013,Female,40 to 49,4225
91911,2013,Female,40 to 49,5856
92120,2013,Female,40 to 49,1831
92140,2013,Female,40 to 49,0
92011,2013,Female,40 to 49,2009
92129,2013,Female,40 to 49,4460
92056,2013,Female,40 to 49,3320
92036,2013,Female,40 to 49,224
92014,2013,Female,40 to 49,933
92114,2013,Female,40 to 49,4082
92096,2013,Female,40 to 49,0
92123,2013,Female,40 to 49,1622
92110,2013,Female,40 to 49,1491
91915,2013,Female,40 to 49,2434
91916,2013,Female,40 to 49,102
92126,2013,Female,40 to 49,4848
91931,2013,Female,40 to 49,30
92154,2013,Female,40 to 49,5149
92107,2013,Female,40 to 49,1731
91913,2013,Female,40 to 49,3692
92104,2013,Female,40 to 49,3251
92173,2013,Female,40 to 49,2074
92036,2013,Female,50 to 59,350
92056,2013,Female,50 to 59,3662
92058,2013,Female,50 to 59,1472
92135,2013,Female,50 to 59,13
92128,2013,Female,50 to 59,3465
92129,2013,Female,50 to 59,4570
91945,2013,Female,50 to 59,1847
91905,2013,Female,50 to 59,135
92119,2013,Female,50 to 59,1741
92096,2013,Female,50 to 59,0
92113,2013,Female,50 to 59,2572
91934,2013,Female,50 to 59,66
91917,2013,Female,50 to 59,81
92070,2013,Female,50 to 59,68
91932,2013,Female,50 to 59,1790
92123,2013,Female,50 to 59,1522
92155,2013,Female,50 to 59,1
92061,2013,Female,50 to 59,209
92057,2013,Female,50 to 59,3777
91914,2013,Female,50 to 59,1173
91977,2013,Female,50 to 59,4089
92009,2013,Female,50 to 59,3467
92019,2013,Female,50 to 59,3644
92065,2013,Female,50 to 59,3104
92028,2013,Female,50 to 59,3456
92114,2013,Female,50 to 59,4503
92259,2013,Female,50 to 59,0
91902,2013,Female,50 to 59,1350
92093,2013,Female,50 to 59,22
92110,2013,Female,50 to 59,1377
92066,2013,Female,50 to 59,29
91963,2013,Female,50 to 59,73
92071,2013,Female,50 to 59,4434
92126,2013,Female,50 to 59,4684
92116,2013,Female,50 to 59,2110
91941,2013,Female,50 to 59,2499
92004,2013,Female,50 to 59,325
92055,2013,Female,50 to 59,173
92003,2013,Female,50 to 59,321
91948,2013,Female,50 to 59,63
92075,2013,Female,50 to 59,892
92145,2013,Female,50 to 59,0
92014,2013,Female,50 to 59,1212
92084,2013,Female,50 to 59,3209
92010,2013,Female,50 to 59,1175
92105,2013,Female,50 to 59,3625
92021,2013,Female,50 to 59,4910
92059,2013,Female,50 to 59,104
91950,2013,Female,50 to 59,3598
92067,2013,Female,50 to 59,936
92104,2013,Female,50 to 59,2630
91911,2013,Female,50 to 59,5417
92107,2013,Female,50 to 59,1754
92029,2013,Female,50 to 59,1629
92121,2013,Female,50 to 59,245
92091,2013,Female,50 to 59,170
92027,2013,Female,50 to 59,3629
91978,2013,Female,50 to 59,659
92161,2013,Female,50 to 59,0
92007,2013,Female,50 to 59,868
92122,2013,Female,50 to 59,2173
91913,2013,Female,50 to 59,2591
91942,2013,Female,50 to 59,2639
91910,2013,Female,50 to 59,5369
92008,2013,Female,50 to 59,2049
92154,2013,Female,50 to 59,4811
92120,2013,Female,50 to 59,1996
92140,2013,Female,50 to 59,0
92173,2013,Female,50 to 59,1874
92078,2013,Female,50 to 59,2467
92060,2013,Female,50 to 59,63
92054,2013,Female,50 to 59,2591
92083,2013,Female,50 to 59,2157
92025,2013,Female,50 to 59,3083
91901,2013,Female,50 to 59,1518
91931,2013,Female,50 to 59,34
92118,2013,Female,50 to 59,1356
92082,2013,Female,50 to 59,1444
91935,2013,Female,50 to 59,845
91906,2013,Female,50 to 59,269
92124,2013,Female,50 to 59,1691
92111,2013,Female,50 to 59,2985
92131,2013,Female,50 to 59,2973
92011,2013,Female,50 to 59,1920
91916,2013,Female,50 to 59,211
92536,2013,Female,50 to 59,28
91915,2013,Female,50 to 59,1483
92026,2013,Female,50 to 59,3598
92127,2013,Female,50 to 59,2944
92108,2013,Female,50 to 59,974
92182,2013,Female,50 to 59,4
92037,2013,Female,50 to 59,2706
92040,2013,Female,50 to 59,3323
92139,2013,Female,50 to 59,2326
91962,2013,Female,50 to 59,163
92672,2013,Female,50 to 59,47
92081,2013,Female,50 to 59,1968
92130,2013,Female,50 to 59,4322
92064,2013,Female,50 to 59,4497
92086,2013,Female,50 to 59,104
92103,2013,Female,50 to 59,1764
91980,2013,Female,50 to 59,15
92020,2013,Female,50 to 59,4187
92106,2013,Female,50 to 59,1398
92117,2013,Female,50 to 59,3645
92024,2013,Female,50 to 59,4396
92101,2013,Female,50 to 59,1841
92102,2013,Female,50 to 59,2143
92115,2013,Female,50 to 59,3064
92069,2013,Female,50 to 59,2785
92136,2013,Female,50 to 59,4
92134,2013,Female,50 to 59,0
92109,2013,Female,50 to 59,1982
91935,2013,Female,60 to 69,629
92129,2013,Female,60 to 69,2745
92037,2013,Female,60 to 69,2538
92054,2013,Female,60 to 69,1774
92102,2013,Female,60 to 69,1397
92120,2013,Female,60 to 69,1628
92128,2013,Female,60 to 69,2921
91963,2013,Female,60 to 69,53
92131,2013,Female,60 to 69,1921
92106,2013,Female,60 to 69,1139
92081,2013,Female,60 to 69,1294
92028,2013,Female,60 to 69,2924
92182,2013,Female,60 to 69,1
92119,2013,Female,60 to 69,1420
92113,2013,Female,60 to 69,1403
92083,2013,Female,60 to 69,1193
92055,2013,Female,60 to 69,95
92108,2013,Female,60 to 69,650
91942,2013,Female,60 to 69,1827
92130,2013,Female,60 to 69,1989
92126,2013,Female,60 to 69,3389
91980,2013,Female,60 to 69,10
92093,2013,Female,60 to 69,16
92010,2013,Female,60 to 69,829
91913,2013,Female,60 to 69,1410
92069,2013,Female,60 to 69,1925
92021,2013,Female,60 to 69,3411
92007,2013,Female,60 to 69,635
91915,2013,Female,60 to 69,781
92145,2013,Female,60 to 69,2
92009,2013,Female,60 to 69,2330
92027,2013,Female,60 to 69,2257
92004,2013,Female,60 to 69,397
92014,2013,Female,60 to 69,1197
92059,2013,Female,60 to 69,76
92020,2013,Female,60 to 69,2800
92173,2013,Female,60 to 69,1082
92040,2013,Female,60 to 69,2259
92154,2013,Female,60 to 69,3270
91941,2013,Female,60 to 69,1947
91917,2013,Female,60 to 69,59
92114,2013,Female,60 to 69,3109
92066,2013,Female,60 to 69,38
92067,2013,Female,60 to 69,726
92116,2013,Female,60 to 69,1554
92140,2013,Female,60 to 69,0
92060,2013,Female,60 to 69,68
92082,2013,Female,60 to 69,1127
92259,2013,Female,60 to 69,0
92101,2013,Female,60 to 69,1493
92123,2013,Female,60 to 69,1029
91902,2013,Female,60 to 69,1094
92057,2013,Female,60 to 69,2448
92065,2013,Female,60 to 69,2040
91914,2013,Female,60 to 69,693
92135,2013,Female,60 to 69,2
92008,2013,Female,60 to 69,1504
91948,2013,Female,60 to 69,34
91950,2013,Female,60 to 69,2333
92011,2013,Female,60 to 69,1441
92056,2013,Female,60 to 69,2908
92086,2013,Female,60 to 69,110
92084,2013,Female,60 to 69,2026
92058,2013,Female,60 to 69,1022
91911,2013,Female,60 to 69,3507
92109,2013,Female,60 to 69,1643
92078,2013,Female,60 to 69,2129
92024,2013,Female,60 to 69,3249
92075,2013,Female,60 to 69,829
91977,2013,Female,60 to 69,2879
92124,2013,Female,60 to 69,1484
91962,2013,Female,60 to 69,134
92118,2013,Female,60 to 69,1156
92134,2013,Female,60 to 69,0
91931,2013,Female,60 to 69,35
92019,2013,Female,60 to 69,2534
91901,2013,Female,60 to 69,1122
91932,2013,Female,60 to 69,1032
