ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92119,2010,Female,30 to 39,1280
91934,2010,Female,30 to 39,52
92024,2010,Female,30 to 39,3553
92120,2010,Female,30 to 39,1606
92021,2010,Female,30 to 39,4047
92083,2010,Female,30 to 39,2599
92140,2010,Female,30 to 39,0
91935,2010,Female,30 to 39,376
92096,2010,Female,30 to 39,29
92020,2010,Female,30 to 39,3722
92121,2010,Female,30 to 39,327
92019,2010,Female,30 to 39,2535
92122,2010,Female,30 to 39,3384
92014,2010,Female,30 to 39,901
91941,2010,Female,30 to 39,2202
92011,2010,Female,30 to 39,1460
92102,2010,Female,30 to 39,3539
92071,2010,Female,30 to 39,3689
92139,2010,Female,30 to 39,2328
92123,2010,Female,30 to 39,2211
92010,2010,Female,30 to 39,1070
91942,2010,Female,30 to 39,2714
92124,2010,Female,30 to 39,2559
92009,2010,Female,30 to 39,2899
92672,2010,Female,30 to 39,173
92136,2010,Female,30 to 39,211
91945,2010,Female,30 to 39,1684
92126,2010,Female,30 to 39,5421
92008,2010,Female,30 to 39,1774
92007,2010,Female,30 to 39,897
92127,2010,Female,30 to 39,3493
92081,2010,Female,30 to 39,1792
91948,2010,Female,30 to 39,21
92004,2010,Female,30 to 39,125
92135,2010,Female,30 to 39,128
92003,2010,Female,30 to 39,236
92096,2010,Female,40 to 49,32
92082,2010,Female,40 to 49,1417
92093,2010,Female,40 to 49,33
92083,2010,Female,40 to 49,2529
91901,2010,Female,40 to 49,1345
92084,2010,Female,40 to 49,3270
92091,2010,Female,40 to 49,117
92086,2010,Female,40 to 49,55
92259,2010,Female,40 to 49,0
91910,2010,Female,40 to 49,5646
91911,2010,Female,40 to 49,6012
92182,2010,Female,40 to 49,72
91913,2010,Female,40 to 49,2896
92173,2010,Female,40 to 49,2163
91914,2010,Female,40 to 49,1338
92161,2010,Female,40 to 49,0
91915,2010,Female,40 to 49,2209
91916,2010,Female,40 to 49,123
92155,2010,Female,40 to 49,40
91917,2010,Female,40 to 49,117
92154,2010,Female,40 to 49,5359
91931,2010,Female,40 to 49,15
91932,2010,Female,40 to 49,1752
92145,2010,Female,40 to 49,1
91934,2010,Female,40 to 49,71
92140,2010,Female,40 to 49,2
91935,2010,Female,40 to 49,726
91941,2010,Female,40 to 49,2660
92139,2010,Female,40 to 49,2408
92672,2010,Female,40 to 49,92
91942,2010,Female,40 to 49,2680
92136,2010,Female,40 to 49,96
91945,2010,Female,40 to 49,1727
92135,2010,Female,40 to 49,32
91948,2010,Female,40 to 49,25
91950,2010,Female,40 to 49,3591
92134,2010,Female,40 to 49,0
91962,2010,Female,40 to 49,134
92131,2010,Female,40 to 49,3312
91963,2010,Female,40 to 49,96
91902,2010,Female,40 to 49,1279
91977,2010,Female,40 to 49,4211
92130,2010,Female,40 to 49,5160
91978,2010,Female,40 to 49,606
92129,2010,Female,40 to 49,4451
91980,2010,Female,40 to 49,28
92003,2010,Female,40 to 49,304
92128,2010,Female,40 to 49,3627
92004,2010,Female,40 to 49,209
92127,2010,Female,40 to 49,3433
92007,2010,Female,40 to 49,778
92126,2010,Female,40 to 49,4820
92008,2010,Female,40 to 49,1852
92009,2010,Female,40 to 49,3792
92124,2010,Female,40 to 49,1744
92010,2010,Female,40 to 49,1128
92123,2010,Female,40 to 49,1533
92011,2010,Female,40 to 49,2051
92014,2010,Female,40 to 49,1081
92122,2010,Female,40 to 49,2052
92019,2010,Female,40 to 49,3204
92121,2010,Female,40 to 49,263
92020,2010,Female,40 to 49,3917
92021,2010,Female,40 to 49,4679
92120,2010,Female,40 to 49,1877
92024,2010,Female,40 to 49,4089
92119,2010,Female,40 to 49,1654
92025,2010,Female,40 to 49,3265
92118,2010,Female,40 to 49,1268
92026,2010,Female,40 to 49,3526
92027,2010,Female,40 to 49,3689
91905,2010,Female,40 to 49,143
92117,2010,Female,40 to 49,3513
92028,2010,Female,40 to 49,3167
92116,2010,Female,40 to 49,2197
92029,2010,Female,40 to 49,1359
92036,2010,Female,40 to 49,223
92115,2010,Female,40 to 49,3022
92037,2010,Female,40 to 49,2387
92114,2010,Female,40 to 49,4362
92040,2010,Female,40 to 49,3121
92054,2010,Female,40 to 49,2450
92113,2010,Female,40 to 49,3252
92055,2010,Female,40 to 49,240
92111,2010,Female,40 to 49,3145
92056,2010,Female,40 to 49,3478
92536,2010,Female,40 to 49,21
92110,2010,Female,40 to 49,1292
92057,2010,Female,40 to 49,3825
92058,2010,Female,40 to 49,1514
92109,2010,Female,40 to 49,1897
92059,2010,Female,40 to 49,147
92108,2010,Female,40 to 49,902
92060,2010,Female,40 to 49,59
92061,2010,Female,40 to 49,150
92107,2010,Female,40 to 49,1566
92064,2010,Female,40 to 49,4036
92106,2010,Female,40 to 49,1565
92065,2010,Female,40 to 49,2836
92066,2010,Female,40 to 49,30
92105,2010,Female,40 to 49,4685
92067,2010,Female,40 to 49,825
92104,2010,Female,40 to 49,2937
92069,2010,Female,40 to 49,3460
91906,2010,Female,40 to 49,413
92103,2010,Female,40 to 49,1794
92070,2010,Female,40 to 49,52
92071,2010,Female,40 to 49,4318
92102,2010,Female,40 to 49,2707
92075,2010,Female,40 to 49,894
92101,2010,Female,40 to 49,1591
92078,2010,Female,40 to 49,2703
92081,2010,Female,40 to 49,1904
92101,2010,Female,50 to 59,1806
92118,2010,Female,50 to 59,1287
92075,2010,Female,50 to 59,863
92071,2010,Female,50 to 59,4009
91932,2010,Female,50 to 59,1659
92026,2010,Female,50 to 59,3452
92007,2010,Female,50 to 59,871
92037,2010,Female,50 to 59,2589
92155,2010,Female,50 to 59,14
91917,2010,Female,50 to 59,147
92115,2010,Female,50 to 59,2887
92036,2010,Female,50 to 59,419
91980,2010,Female,50 to 59,11
91963,2010,Female,50 to 59,88
92027,2010,Female,50 to 59,3310
92029,2010,Female,50 to 59,1663
92154,2010,Female,50 to 59,4722
92117,2010,Female,50 to 59,3528
92116,2010,Female,50 to 59,2063
91905,2010,Female,50 to 59,140
92131,2010,Female,50 to 59,2728
92028,2010,Female,50 to 59,3576
91931,2010,Female,50 to 59,32
91906,2010,Female,50 to 59,443
92070,2010,Female,50 to 59,77
91950,2010,Female,50 to 59,3364
92126,2010,Female,50 to 59,4621
92103,2010,Female,50 to 59,1759
92008,2010,Female,50 to 59,1973
92081,2010,Female,50 to 59,1924
92129,2010,Female,50 to 59,3986
91945,2010,Female,50 to 59,1790
92069,2010,Female,50 to 59,2615
92084,2010,Female,50 to 59,3376
92091,2010,Female,50 to 59,122
92104,2010,Female,50 to 59,2563
92136,2010,Female,50 to 59,58
92009,2010,Female,50 to 59,3114
92067,2010,Female,50 to 59,892
92082,2010,Female,50 to 59,1570
92124,2010,Female,50 to 59,1645
92086,2010,Female,50 to 59,79
91978,2010,Female,50 to 59,665
91942,2010,Female,50 to 59,2667
92066,2010,Female,50 to 59,58
92010,2010,Female,50 to 59,1151
92134,2010,Female,50 to 59,0
92259,2010,Female,50 to 59,0
92105,2010,Female,50 to 59,3440
91910,2010,Female,50 to 59,5216
92123,2010,Female,50 to 59,1516
92065,2010,Female,50 to 59,2999
91901,2010,Female,50 to 59,1503
92106,2010,Female,50 to 59,1470
92102,2010,Female,50 to 59,2140
92011,2010,Female,50 to 59,1751
91948,2010,Female,50 to 59,35
92064,2010,Female,50 to 59,4237
92182,2010,Female,50 to 59,58
92107,2010,Female,50 to 59,1608
92003,2010,Female,50 to 59,337
92061,2010,Female,50 to 59,184
91941,2010,Female,50 to 59,2716
91911,2010,Female,50 to 59,5178
92139,2010,Female,50 to 59,2401
92014,2010,Female,50 to 59,1273
92004,2010,Female,50 to 59,351
92122,2010,Female,50 to 59,2022
92060,2010,Female,50 to 59,17
92108,2010,Female,50 to 59,851
92059,2010,Female,50 to 59,107
92672,2010,Female,50 to 59,20
92083,2010,Female,50 to 59,1919
92019,2010,Female,50 to 59,3500
91913,2010,Female,50 to 59,2068
92109,2010,Female,50 to 59,1784
91962,2010,Female,50 to 59,171
92128,2010,Female,50 to 59,3227
92121,2010,Female,50 to 59,223
92058,2010,Female,50 to 59,1408
91935,2010,Female,50 to 59,671
92173,2010,Female,50 to 59,1794
92020,2010,Female,50 to 59,3862
91902,2010,Female,50 to 59,1342
91914,2010,Female,50 to 59,952
92057,2010,Female,50 to 59,3429
92110,2010,Female,50 to 59,1289
92120,2010,Female,50 to 59,1887
92140,2010,Female,50 to 59,0
92127,2010,Female,50 to 59,2425
92078,2010,Female,50 to 59,2115
92021,2010,Female,50 to 59,4598
92130,2010,Female,50 to 59,3275
92093,2010,Female,50 to 59,23
92056,2010,Female,50 to 59,3547
92096,2010,Female,50 to 59,29
92161,2010,Female,50 to 59,0
92111,2010,Female,50 to 59,2937
91915,2010,Female,50 to 59,1216
92055,2010,Female,50 to 59,52
92135,2010,Female,50 to 59,12
92024,2010,Female,50 to 59,4336
91934,2010,Female,50 to 59,69
92119,2010,Female,50 to 59,1704
92054,2010,Female,50 to 59,2502
92113,2010,Female,50 to 59,2490
92536,2010,Female,50 to 59,60
91977,2010,Female,50 to 59,3963
92145,2010,Female,50 to 59,0
92040,2010,Female,50 to 59,3115
92025,2010,Female,50 to 59,2811
91916,2010,Female,50 to 59,217
92114,2010,Female,50 to 59,4609
91948,2010,Female,60 to 69,18
92114,2010,Female,60 to 69,2949
91963,2010,Female,60 to 69,60
92118,2010,Female,60 to 69,1052
92064,2010,Female,60 to 69,2419
91914,2010,Female,60 to 69,570
92037,2010,Female,60 to 69,2529
92057,2010,Female,60 to 69,2281
91932,2010,Female,60 to 69,858
92182,2010,Female,60 to 69,16
92075,2010,Female,60 to 69,811
91941,2010,Female,60 to 69,1822
92026,2010,Female,60 to 69,2367
92536,2010,Female,60 to 69,37
92113,2010,Female,60 to 69,1324
92101,2010,Female,60 to 69,1344
92061,2010,Female,60 to 69,114
92145,2010,Female,60 to 69,0
92007,2010,Female,60 to 69,570
92078,2010,Female,60 to 69,2097
92122,2010,Female,60 to 69,1720
92036,2010,Female,60 to 69,316
91934,2010,Female,60 to 69,39
92127,2010,Female,60 to 69,1343
91917,2010,Female,60 to 69,87
92115,2010,Female,60 to 69,1784
91905,2010,Female,60 to 69,86
92029,2010,Female,60 to 69,1194
92120,2010,Female,60 to 69,1595
92093,2010,Female,60 to 69,28
92027,2010,Female,60 to 69,2054
92131,2010,Female,60 to 69,1552
92096,2010,Female,60 to 69,28
92117,2010,Female,60 to 69,2265
92154,2010,Female,60 to 69,3050
92110,2010,Female,60 to 69,1074
92014,2010,Female,60 to 69,1117
91916,2010,Female,60 to 69,134
92116,2010,Female,60 to 69,1310
91911,2010,Female,60 to 69,3297
92140,2010,Female,60 to 69,2
92028,2010,Female,60 to 69,2920
92107,2010,Female,60 to 69,1043
91931,2010,Female,60 to 69,24
92060,2010,Female,60 to 69,52
92083,2010,Female,60 to 69,1048
92070,2010,Female,60 to 69,75
92139,2010,Female,60 to 69,1521
92004,2010,Female,60 to 69,383
92126,2010,Female,60 to 69,3154
92024,2010,Female,60 to 69,2744
92071,2010,Female,60 to 69,2598
92091,2010,Female,60 to 69,95
92081,2010,Female,60 to 69,1143
91901,2010,Female,60 to 69,943
92103,2010,Female,60 to 69,1539
91950,2010,Female,60 to 69,2087
92135,2010,Female,60 to 69,1
92008,2010,Female,60 to 69,1333
92134,2010,Female,60 to 69,1
92108,2010,Female,60 to 69,517
92059,2010,Female,60 to 69,36
92069,2010,Female,60 to 69,1647
91945,2010,Female,60 to 69,1058
91915,2010,Female,60 to 69,686
92021,2010,Female,60 to 69,3073
91980,2010,Female,60 to 69,10
92084,2010,Female,60 to 69,1823
92056,2010,Female,60 to 69,2906
92129,2010,Female,60 to 69,2071
92019,2010,Female,60 to 69,2161
92003,2010,Female,60 to 69,286
92136,2010,Female,60 to 69,38
92104,2010,Female,60 to 69,1534
92067,2010,Female,60 to 69,631
92054,2010,Female,60 to 69,1503
92009,2010,Female,60 to 69,1952
91902,2010,Female,60 to 69,1018
91913,2010,Female,60 to 69,1147
92124,2010,Female,60 to 69,1424
92025,2010,Female,60 to 69,1883
91978,2010,Female,60 to 69,394
92119,2010,Female,60 to 69,1361
92102,2010,Female,60 to 69,1184
92672,2010,Female,60 to 69,9
92121,2010,Female,60 to 69,138
91942,2010,Female,60 to 69,1577
92086,2010,Female,60 to 69,99
92082,2010,Female,60 to 69,1080
92161,2010,Female,60 to 69,0
92066,2010,Female,60 to 69,54
92109,2010,Female,60 to 69,1520
92259,2010,Female,60 to 69,0
92058,2010,Female,60 to 69,966
92010,2010,Female,60 to 69,700
92040,2010,Female,60 to 69,1950
92173,2010,Female,60 to 69,1090
91962,2010,Female,60 to 69,98
92105,2010,Female,60 to 69,2085
91935,2010,Female,60 to 69,449
91910,2010,Female,60 to 69,3347
